date_id,order_date,month,quarter,year
271,2023-09-03,9,3,2023
272,2023-05-20,5,2,2023
273,2023-08-07,8,3,2023
274,2023-12-26,12,4,2023
275,2023-04-02,4,2,2023
276,2023-09-22,9,3,2023
277,2023-12-01,12,4,2023
278,2023-01-26,1,1,2023
279,2023-04-04,4,2,2023
280,2023-07-24,7,3,2023
